discourse_subtype,count
question:172->173:1:lex-indwd-839+grf-qst-841,1
"other_m:173->8:2:_
",1
"positive:40->41:0:sem-atsrc-210+lex-indwd-211+lex-indwd-212;joint-list:40->36:0:1:orp-and-209
",1
"additional:41->34:1:ref-prs-172,200+ref-prs-179,210
",1
"contrast_m:42->41:1:sem-ngt-215,224-225+dm-but-220
",1
"result:43->42:0:dm-and-228+dm-so-229
",1
"positive:44->45:2:sem-atsrc-235+lex-indwd-236+lex-indwd-237+syn-rpr-239-240,242,245,251",1
sequence_m:45->41:2:dm-and-233,1
"circumstance:46->45:0:dm-when-243
",1
"sequence_m:47->45:1:dm-and-248+dm-then-249
",1
"additional:32->14:4:ref-prs-75,158+sem-rpt-78-79,162-163
",1
"result:33->32:0:dm-and-165
",1
evidence:34->32:2:_,1
positive:35->34:0:sem-atsrc-179+lex-indwd-180,1
concession:36->38:2:dm-but-186,1
"phatic:37->38:0:_;joint-sequence:37->36:0:0:orp-then-187
",1
"background:38->41:3:ref-prs-190,210",1
"list_m:39->38:1:sem-lxchn-193,206+dm-and-199
",1
antithesis:24->32:3:dm-but-157,1
evidence:25->32:1:_,1
"condition:26->28:0:dm-if-124+mrf-md-139+dm-then-144
",1
"list_m:27->26:0:dm-and-131
",1
list_m:28->25:0:_,1
"cause:29->28:1:dm-cause-143
",1
"positive:30->31:0:sem-atsrc-132,151+lex-indwd-152
",1
cause:31->29:0:dm-cause-150,1
comment:16->14:2:_,1
"additional:17->16:0:ref-prs-84,91",1
contrast_m:18->16:1:_,1
"justify:19->18:0:dm-because-95
",1
contrast_m:20->14:3:_,1
attribute:21->20:0:syn-mdf-100+syn-relcl-102,1
"unit_m:22->20:1:_
",1
positive:23->24:0:sem-atsrc-107+lex-indwd-108,1
