discourse_markers,discourse_type,discourse_subtype
"organization-preparation:92->93:0:_
",organization,"preparation:92->93:0:_
"
adversative-antithesis:93->72:2:_,adversative,antithesis:93->72:2:_
joint-other_m:94->2:3:_,joint,other_m:94->2:3:_
"adversative-contrast_m:95->94:0:_
",adversative,"contrast_m:95->94:0:_
"
"restatement-repetition_m:96->95:0:sem-lxchn-515,522
",restatement,"repetition_m:96->95:0:sem-lxchn-515,522
"
evaluation-comment:97->95:1:_,evaluation,comment:97->95:1:_
"elaboration-additional:98->97:0:sem-rpt-528-529,532",elaboration,"additional:98->97:0:sem-rpt-528-529,532"
evaluation-comment:99->95:2:_;adversative-contrast:99->97:0:1:orp-though-543,evaluation,comment:99->95:2:_;adversative-contrast:99->97:0:1:orp-though-543
organization-phatic:100->99:0:lex-indwd-545,organization,phatic:100->99:0:lex-indwd-545
"causal-cause:101->99:1:_
",causal,"cause:101->99:1:_
"
"topic-question:102->105:1:lex-indwd-550+grf-qst-556
",topic,"question:102->105:1:lex-indwd-550+grf-qst-556
"
"context-background:103->105:0:ref-prs-560,573",context,"background:103->105:0:ref-prs-560,573"
evaluation-comment:104->103:0:_,evaluation,comment:104->103:0:_
joint-list_m:105->94:1:_,joint,list_m:105->94:1:_
organization-phatic:106->105:2:_,organization,phatic:106->105:2:_
causal-cause:107->108:0:_,causal,cause:107->108:0:_
evaluation-comment:108->109:1:_,evaluation,comment:108->109:1:_
joint-other_m:109->2:3:_,joint,other_m:109->2:3:_
explanation-justify:110->109:0:_,explanation,justify:110->109:0:_
explanation-evidence:111->110:0:_,explanation,evidence:111->110:0:_
"joint-sequence_m:112->111:0:dm-and-614
",joint,"sequence_m:112->111:0:dm-and-614
"
"joint-list_m:113->111:1:dm-and-618
",joint,"list_m:113->111:1:dm-and-618
"
"evaluation-comment:114->109:2:lex-indwd-630
",evaluation,"comment:114->109:2:lex-indwd-630
"
joint-other_m:115->109:3:_,joint,other_m:115->109:3:_
"contingency-condition:116->117:0:dm-if-634
",contingency,"condition:116->117:0:dm-if-634
"
same-unit_m:117->115:0:_,same,unit_m:117->115:0:_
"elaboration-additional:118->115:1:ref-prs-635,648+sem-synym-644,647",elaboration,"additional:118->115:1:ref-prs-635,648+sem-synym-644,647"
joint-sequence_m:119->118:0:lex-indwd-651,joint,sequence_m:119->118:0:lex-indwd-651
"explanation-justify:120->124:3:_
",explanation,"justify:120->124:3:_
"
"attribution-positive:121->122:0:sem-atsrc-660+lex-indwd-666
",attribution,"positive:121->122:0:sem-atsrc-660+lex-indwd-666
"
purpose-goal:122->120:0:syn-inf-665,purpose,goal:122->120:0:syn-inf-665
attribution-negative:123->124:1:sem-atsrc-675+sem-ngt-677+lex-indwd-678+syn-rpr-693,attribution,negative:123->124:1:sem-atsrc-675+sem-ngt-677+lex-indwd-678+syn-rpr-693
"evaluation-comment:124->115:2:_
",evaluation,"comment:124->115:2:_
"
"attribution-positive:125->126:0:sem-atsrc-684+lex-indwd-691
",attribution,"positive:125->126:0:sem-atsrc-684+lex-indwd-691
"
"purpose-goal:126->124:0:syn-inf-690
",purpose,"goal:126->124:0:syn-inf-690
"
explanation-justify:127->124:2:_,explanation,justify:127->124:2:_
elaboration-attribute:128->127:0:syn-mdf-704+syn-relcl-707,elaboration,attribute:128->127:0:syn-mdf-704+syn-relcl-707
"adversative-antithesis:129->124:4:_
",adversative,"antithesis:129->124:4:_
"
"context-background:130->134:1:ref-prs-720,744",context,"background:130->134:1:ref-prs-720,744"
evaluation-comment:131->130:0:lex-indwd-728,evaluation,comment:131->130:0:lex-indwd-728
joint-list_m:132->130:1:_,joint,list_m:132->130:1:_
"context-background:133->132:0:ref-prs-730-731,739+ref-prs-730,737",context,"background:133->132:0:ref-prs-730-731,739+ref-prs-730,737"
"context-background:134->138:2:ref-prs-737,755+sem-rpt-752-753,766-767",context,"background:134->138:2:ref-prs-737,755+sem-rpt-752-753,766-767"
"purpose-attribute:135->134:0:syn-mdf-749+syn-inf-750
",purpose,"attribute:135->134:0:syn-mdf-749+syn-inf-750
"
attribution-positive:136->138:1:sem-atsrc-755+lex-indwd-756+syn-rpr-757,attribution,positive:136->138:1:sem-atsrc-755+lex-indwd-756+syn-rpr-757
"contingency-condition:137->138:0:dm-if-757+mrf-md-763
",contingency,"condition:137->138:0:dm-if-757+mrf-md-763
"
explanation-evidence:138->109:4:_,explanation,evidence:138->109:4:_
topic-solutionhood:139->144:3:_,topic,solutionhood:139->144:3:_
elaboration-attribute:140->139:0:syn-mdf-769+syn-relcl-771,elaboration,attribute:140->139:0:syn-mdf-769+syn-relcl-771
"same-unit_m:141->139:1:_
",same,"unit_m:141->139:1:_
"
"purpose-goal:142->139:2:dm-so-775
",purpose,"goal:142->139:2:dm-so-775
"
"elaboration-additional:143->142:0:sem-mrnym-779-780,784
",elaboration,"additional:143->142:0:sem-mrnym-779-780,784
"
joint-other_m:144->2:3:_,joint,other_m:144->2:3:_
restatement-repetition_m:145->144:0:_,restatement,repetition_m:145->144:0:_
topic-question:146->151:0:lex-indwd-791+grf-qst-792,topic,question:146->151:0:lex-indwd-791+grf-qst-792
explanation-justify:147->146:0:_,explanation,justify:147->146:0:_
joint-list_m:148->147:0:_,joint,list_m:148->147:0:_
joint-list_m:149->147:0:_,joint,list_m:149->147:0:_
joint-list_m:150->147:0:_,joint,list_m:150->147:0:_
explanation-justify:151->144:1:_,explanation,justify:151->144:1:_
"adversative-concession:152->154:1:dm-but-823
",adversative,"concession:152->154:1:dm-but-823
"
organization-preparation:153->154:0:_,organization,preparation:153->154:0:_
adversative-contrast_m:154->151:1:_,adversative,contrast_m:154->151:1:_
evaluation-comment:155->154:2:_,evaluation,comment:155->154:2:_
"adversative-antithesis:156->144:2:_;joint-list:156->152:1:3:orp-and-840
",adversative,"antithesis:156->144:2:_;joint-list:156->152:1:3:orp-and-840
"
organization-phatic:157->156:0:lex-indwd-848,organization,phatic:157->156:0:lex-indwd-848
"topic-question:158->159:1:lex-indwd-850+grf-qst-854
",topic,"question:158->159:1:lex-indwd-850+grf-qst-854
"
joint-other_m:159->2:3:_,joint,other_m:159->2:3:_
adversative-concession:160->161:0:dm-but-867,adversative,concession:160->161:0:dm-but-867
"elaboration-additional:161->159:0:sem-rpt-855,859+ref-prs-857,861
",elaboration,"additional:161->159:0:sem-rpt-855,859+ref-prs-857,861
"
causal-result:162->161:1:_,causal,result:162->161:1:_
joint-other_m:163->2:3:_,joint,other_m:163->2:3:_
evaluation-comment:164->163:0:_,evaluation,comment:164->163:0:_
"restatement-repetition_m:165->163:1:ref-prs-878,887+sem-lxchn-879,888",restatement,"repetition_m:165->163:1:ref-prs-878,887+sem-lxchn-879,888"
"organization-preparation:166->169:2:_
",organization,"preparation:166->169:2:_
"
"contingency-condition:167->169:1:dm-if-891+mrf-md-899
",contingency,"condition:167->169:1:dm-if-891+mrf-md-899
"
attribution-positive:168->169:0:sem-atsrc-898+lex-indwd-900,attribution,positive:168->169:0:sem-atsrc-898+lex-indwd-900
joint-other_m:169->2:3:_,joint,other_m:169->2:3:_
attribution-positive:170->171:1:sem-atsrc-909+lex-indwd-910,attribution,positive:170->171:1:sem-atsrc-909+lex-indwd-910
"organization-preparation:171->174:2:ref-prs-911,919",organization,"preparation:171->174:2:ref-prs-911,919"
"restatement-repetition_m:172->171:0:sem-rpt-911,914-915",restatement,"repetition_m:172->171:0:sem-rpt-911,914-915"
"organization-preparation:173->174:1:_
",organization,"preparation:173->174:1:_
"
"evaluation-comment:174->169:3:_
",evaluation,"comment:174->169:3:_
"
"purpose-attribute:175->174:0:syn-mdf-925+syn-inf-926
",purpose,"attribute:175->174:0:syn-mdf-925+syn-inf-926
"
explanation-justify:176->174:3:_,explanation,justify:176->174:3:_
explanation-evidence:177->176:0:_,explanation,evidence:177->176:0:_
joint-other_m:178->2:3:_,joint,other_m:178->2:3:_
evaluation-comment:179->178:0:lex-indwd-946,evaluation,comment:179->178:0:lex-indwd-946
joint-other_m:180->2:3:_,joint,other_m:180->2:3:_
"joint-other_m:181->2:3:_
",joint,"other_m:181->2:3:_
"
"context-circumstance:182->181:0:dm-when-961
",context,"circumstance:182->181:0:dm-when-961
"
joint-other_m:183->2:3:_,joint,other_m:183->2:3:_
"topic-question:184->185:2:syn-sbinv-972+grf-qst-977
",topic,"question:184->185:2:syn-sbinv-972+grf-qst-977
"
joint-other_m:185->2:3:_,joint,other_m:185->2:3:_
organization-phatic:186->185:0:lex-indwd-985,organization,phatic:186->185:0:lex-indwd-985
"elaboration-additional:187->185:1:sem-mrnym-980,989-990",elaboration,"additional:187->185:1:sem-mrnym-980,989-990"
"elaboration-additional:188->187:0:ref-prs-989-990,992",elaboration,"additional:188->187:0:ref-prs-989-990,992"
"topic-question:189->190:0:syn-sbinv-997+grf-qst-1009
",topic,"question:189->190:0:syn-sbinv-997+grf-qst-1009
"
"topic-question:190->191:1:lex-indwd-1011+grf-qst-1013
",topic,"question:190->191:1:lex-indwd-1011+grf-qst-1013
"
"context-background:191->204:3:ref-prs-1014,1080",context,"background:191->204:3:ref-prs-1014,1080"
topic-question:192->196:0:grf-qst-1017,topic,question:192->196:0:grf-qst-1017
"joint-list_m:193->192:0:_
",joint,"list_m:193->192:0:_
"
explanation-justify:194->192:1:_,explanation,justify:194->192:1:_
"restatement-repetition_m:195->194:0:ref-prs-1023,1028",restatement,"repetition_m:195->194:0:ref-prs-1023,1028"
"elaboration-additional:196->191:0:ref-prs-1014,1033",elaboration,"additional:196->191:0:ref-prs-1014,1033"
organization-phatic:197->196:1:lex-indwd-1042+lex-indwd-1044,organization,phatic:197->196:1:lex-indwd-1042+lex-indwd-1044
"topic-question:198->204:2:grf-qst-1054
",topic,"question:198->204:2:grf-qst-1054
"
"joint-list_m:199->198:0:_
",joint,"list_m:199->198:0:_
"
"joint-list_m:200->198:0:_
",joint,"list_m:200->198:0:_
"
"restatement-repetition_m:201->200:0:ref-prs-1062,1067+sem-synym-1064,1069-1071
",restatement,"repetition_m:201->200:0:ref-prs-1062,1067+sem-synym-1064,1069-1071
"
"attribution-positive:202->204:1:sem-atsrc-1074+lex-indwd-1075+syn-rpr-1077-1078,1080-1086",attribution,"positive:202->204:1:sem-atsrc-1074+lex-indwd-1075+syn-rpr-1077-1078,1080-1086"
attribution-positive:203->204:0:sem-atsrc-1077+lex-indwd-1079,attribution,positive:203->204:0:sem-atsrc-1077+lex-indwd-1079
context-background:204->220:4:_,context,background:204->220:4:_
organization-phatic:205->204:4:_,organization,phatic:205->204:4:_
restatement-repetition_m:206->205:0:_,restatement,repetition_m:206->205:0:_
"restatement-partial:207->204:5:sem-synym-1080,1092-1093",restatement,"partial:207->204:5:sem-synym-1080,1092-1093"
"organization-preparation:208->210:0:ref-prs-1099,1107",organization,"preparation:208->210:0:ref-prs-1099,1107"
"joint-list_m:209->208:0:_
",joint,"list_m:209->208:0:_
"
"topic-question:210->214:1:dm-so-1104+lex-indwd-1105+syn-sbinv-1106+grf-qst-1110
",topic,"question:210->214:1:dm-so-1104+lex-indwd-1105+syn-sbinv-1106+grf-qst-1110
"
organization-preparation:211->214:0:_,organization,preparation:211->214:0:_
"topic-question:212->213:0:syn-sbinv-1122
",topic,"question:212->213:0:syn-sbinv-1122
"
elaboration-additional:213->211:0:_,elaboration,additional:213->211:0:_
context-background:214->220:3:_,context,background:214->220:3:_
organization-phatic:215->216:0:_,organization,phatic:215->216:0:_
"evaluation-comment:216->214:2:_
",evaluation,"comment:216->214:2:_
"
organization-phatic:217->218:1:lex-indph-1141-1142,organization,phatic:217->218:1:lex-indph-1141-1142
"elaboration-additional:218->216:1:ref-prs-1138,1141+lex-indwd-1150",elaboration,"additional:218->216:1:ref-prs-1138,1141+lex-indwd-1150"
elaboration-attribute:219->218:0:syn-mdf-1146+syn-relcl-1148,elaboration,attribute:219->218:0:syn-mdf-1146+syn-relcl-1148
joint-other_m:220->2:3:_,joint,other_m:220->2:3:_
adversative-antithesis:221->223:2:_,adversative,antithesis:221->223:2:_
mode-means:222->223:0:_,mode,means:222->223:0:_
"elaboration-additional:223->220:0:ref-prs-1154,1176+sem-lxchn-1161,1175",elaboration,"additional:223->220:0:ref-prs-1154,1176+sem-lxchn-1161,1175"
mode-manner:224->223:1:_,mode,manner:224->223:1:_
"joint-other_m:225->220:1:_
",joint,"other_m:225->220:1:_
"
organization-phatic:226->225:0:lex-indwd-1190,organization,phatic:226->225:0:lex-indwd-1190
"adversative-antithesis:227->228:1:_
",adversative,"antithesis:227->228:1:_
"
"mode-manner:228->225:1:_
",mode,"manner:228->225:1:_
"
"purpose-attribute:229->228:0:syn-mdf-1200+syn-inf-1202
",purpose,"attribute:229->228:0:syn-mdf-1200+syn-inf-1202
"
organization-phatic:230->225:2:lex-indwd-1208,organization,phatic:230->225:2:lex-indwd-1208
"topic-question:231->232:1:syn-sbinv-1213+grf-qst-1221
",topic,"question:231->232:1:syn-sbinv-1213+grf-qst-1221
"
elaboration-additional:232->220:2:_,elaboration,additional:232->220:2:_
"joint-sequence_m:233->232:0:dm-and-1229
",joint,"sequence_m:233->232:0:dm-and-1229
"
"joint-sequence_m:234->232:0:dm-and-1236+dm-then-1237
",joint,"sequence_m:234->232:0:dm-and-1236+dm-then-1237
"
mode-manner:235->234:0:_,mode,manner:235->234:0:_
organization-preparation:1->2:0:_,organization,preparation:1->2:0:_
"topic-question:2->4:1:syn-sbinv-5+grf-qst-13
",topic,"question:2->4:1:syn-sbinv-5+grf-qst-13
"
adversative-antithesis:3->4:0:_,adversative,antithesis:3->4:0:_
topic-question:4->5:0:grf-qst-17,topic,question:4->5:0:grf-qst-17
"topic-solutionhood:5->6:1:_
",topic,"solutionhood:5->6:1:_
"
topic-question:6->8:0:grf-qst-32,topic,question:6->8:0:grf-qst-32
joint-list_m:7->6:0:_,joint,list_m:7->6:0:_
ROOT:8:0,ROOT:8:0,
evaluation-comment:9->8:1:lex-indwd-42,evaluation,comment:9->8:1:lex-indwd-42
"topic-question:10->11:0:lex-indwd-44+syn-sbinv-45+grf-qst-50
",topic,"question:10->11:0:lex-indwd-44+syn-sbinv-45+grf-qst-50
"
"joint-other_m:11->8:2:_
",joint,"other_m:11->8:2:_
"
organization-phatic:12->11:1:lex-indwd-57,organization,phatic:12->11:1:lex-indwd-57
"restatement-repetition_m:13->12:0:_
",restatement,"repetition_m:13->12:0:_
"
topic-question:14->15:1:grf-qst-63,topic,question:14->15:1:grf-qst-63
evaluation-comment:15->11:2:_,evaluation,comment:15->11:2:_
restatement-repetition_m:16->15:0:_,restatement,repetition_m:16->15:0:_
organization-preparation:17->18:0:_,organization,preparation:17->18:0:_
elaboration-additional:18->15:2:_,elaboration,additional:18->15:2:_
restatement-partial:19->15:3:_,restatement,partial:19->15:3:_
topic-question:20->22:2:grf-qst-80,topic,question:20->22:2:grf-qst-80
"restatement-repetition_m:21->20:0:ref-dem-77,82
",restatement,"repetition_m:21->20:0:ref-dem-77,82
"
joint-other_m:22->8:2:_,joint,other_m:22->8:2:_
restatement-repetition_m:23->22:0:_,restatement,repetition_m:23->22:0:_
elaboration-additional:24->22:1:_,elaboration,additional:24->22:1:_
organization-phatic:25->26:0:lex-indwd-91,organization,phatic:25->26:0:lex-indwd-91
evaluation-comment:26->24:0:lex-indwd-95,evaluation,comment:26->24:0:lex-indwd-95
"adversative-antithesis:27->26:1:_
",adversative,"antithesis:27->26:1:_
"
evaluation-comment:28->27:0:lex-indwd-103,evaluation,comment:28->27:0:lex-indwd-103
"restatement-repetition_m:29->28:0:sem-rpt-103-104,106-107",restatement,"repetition_m:29->28:0:sem-rpt-103-104,106-107"
organization-phatic:30->34:4:lex-indwd-109,organization,phatic:30->34:4:lex-indwd-109
evaluation-comment:31->34:3:_,evaluation,comment:31->34:3:_
"topic-question:32->34:2:lex-indwd-113
",topic,"question:32->34:2:lex-indwd-113
"
organization-phatic:33->34:1:lex-indwd-118,organization,phatic:33->34:1:lex-indwd-118
joint-other_m:34->8:2:_,joint,other_m:34->8:2:_
"adversative-concession:35->34:0:dm-but-125
",adversative,"concession:35->34:0:dm-but-125
"
evaluation-comment:36->34:5:_,evaluation,comment:36->34:5:_
"restatement-repetition_m:37->36:0:sem-rpt-132-133,136-137+ref-prs-132,136",restatement,"repetition_m:37->36:0:sem-rpt-132-133,136-137+ref-prs-132,136"
"causal-cause:38->39:0:dm-because-144+dm-so-152
",causal,"cause:38->39:0:dm-because-144+dm-so-152
"
"causal-cause:39->48:3:_
",causal,"cause:39->48:3:_
"
"evaluation-comment:40->39:1:_
",evaluation,"comment:40->39:1:_
"
"topic-question:41->42:0:syn-sbinv-167+grf-qst-172
",topic,"question:41->42:0:syn-sbinv-167+grf-qst-172
"
causal-cause:42->43:0:dm-so-180,causal,cause:42->43:0:dm-so-180
"restatement-repetition_m:43->39:2:ref-prs-145-146,182+ref-prs-153,177+sem-lxchn-155,158,184+sem-rpt-160,191",restatement,"repetition_m:43->39:2:ref-prs-145-146,182+ref-prs-153,177+sem-lxchn-155,158,184+sem-rpt-160,191"
context-background:44->48:2:_,context,background:44->48:2:_
"organization-phatic:45->44:0:_;causal-result:45->44:0:0:orp-so-207
",organization,"phatic:45->44:0:_;causal-result:45->44:0:0:orp-so-207
"
joint-other_m:46->44:1:_,joint,other_m:46->44:1:_
"evaluation-comment:47->48:0:lex-indwd-215
",evaluation,"comment:47->48:0:lex-indwd-215
"
joint-other_m:48->8:2:_,joint,other_m:48->8:2:_
evaluation-comment:49->48:1:lex-indwd-228,evaluation,comment:49->48:1:lex-indwd-228
"joint-other_m:50->8:2:_
",joint,"other_m:50->8:2:_
"
evaluation-comment:51->50:0:lex-indwd-233,evaluation,comment:51->50:0:lex-indwd-233
"topic-question:52->54:0:lex-indwd-235+syn-sbinv-237+grf-qst-241
",topic,"question:52->54:0:lex-indwd-235+syn-sbinv-237+grf-qst-241
"
adversative-antithesis:53->52:0:_,adversative,antithesis:53->52:0:_
"topic-question:54->58:1:grf-qst-254
",topic,"question:54->58:1:grf-qst-254
"
